uid,years,minutes,sqrm,distance,renovate,express,price
13104-813,19,10,60,7.768447716,0,0,39000000
13104-817,15,6,20,7.768447716,0,0,15000000
13104-818,15,7,25,7.768447716,0,0,26000000
13104-820,15,7,20,7.768447716,0,0,17000000
13104-821,47,10,50,7.768447716,0,0,27000000
13104-822,22,5,20,7.768447716,1,0,17000000
13104-823,24,5,15,7.768447716,0,0,18000000
13104-825,19,6,70,7.768447716,1,0,66000000
13104-826,23,6,15,7.768447716,0,0,15000000
13104-827,15,6,20,7.768447716,0,0,19000000
13104-828,16,9,20,7.768447716,0,0,22000000
13104-829,15,7,45,7.768447716,0,0,34000000
13104-830,22,6,20,7.768447716,0,0,18000000
13104-831,22,7,15,7.768447716,0,0,21000000
13104-833,47,10,55,7.768447716,1,0,38000000
13104-834,29,9,25,7.768447716,1,0,18000000
13104-835,15,7,20,7.768447716,1,0,20000000
13104-836,29,9,15,7.768447716,0,0,7300000
13104-837,4,10,70,7.768447716,0,0,63000000
13104-838,23,7,15,7.768447716,0,0,12000000
13104-840,23,10,35,7.768447716,0,0,24000000
13104-841,47,10,60,7.768447716,1,0,40000000
13104-845,15,7,20,7.768447716,0,0,21000000
13104-848,41,7,45,7.768447716,1,0,28000000
13104-849,10,9,20,7.768447716,0,0,23000000
13104-850,15,7,20,7.768447716,0,0,19000000
13104-851,22,5,20,7.768447716,0,0,12000000
13104-900,15,5,20,4.152266259,0,0,20000000
13104-901,15,5,20,4.152266259,0,0,22000000
13104-903,15,5,20,4.152266259,0,0,21000000
13104-1055,34,4,45,2.983801459,1,0,44000000
13104-1056,41,3,30,2.983801459,0,0,27000000
13104-1057,41,3,30,2.983801459,0,0,19000000
13104-1058,41,3,30,2.983801459,1,0,20000000
13104-1059,41,3,30,2.983801459,0,0,20000000
13104-1060,41,3,20,2.983801459,0,0,14000000
13104-1061,34,4,20,2.983801459,1,0,17000000
13104-1062,41,3,20,2.983801459,1,0,17000000
13104-1063,41,3,20,2.983801459,0,0,11000000
13104-1064,41,3,20,2.983801459,0,0,11000000
13104-1065,41,3,20,2.983801459,1,0,7500000
13104-1066,41,3,55,2.983801459,1,0,48000000
13104-1067,41,3,30,2.983801459,0,0,20000000
13104-1068,41,3,25,2.983801459,0,0,17000000
13104-1069,41,3,30,2.983801459,1,0,17000000
13104-1070,41,3,55,2.983801459,0,0,28000000
13104-1082,14,10,80,2.983801459,0,0,91000000
13104-1083,13,9,20,2.983801459,0,0,23000000
13104-1084,4,6,25,2.983801459,0,0,26000000
13104-1085,4,6,25,2.983801459,0,0,29000000
13104-1088,17,6,20,2.983801459,0,0,23000000
13104-1089,14,10,65,2.983801459,0,0,63000000
13104-1090,7,7,25,2.983801459,0,0,33000000
13104-1091,40,10,50,2.983801459,1,0,43000000
13104-1093,13,9,15,2.983801459,0,0,22000000
13104-1095,14,10,75,2.983801459,0,0,84000000
13104-1096,14,10,25,2.983801459,0,0,24000000
13104-1097,13,9,20,2.983801459,0,0,18000000
13104-1098,39,11,50,2.983801459,1,0,47000000
13104-1099,13,9,40,2.983801459,0,0,37000000
13104-1100,23,6,55,2.983801459,1,0,60000000
13104-1101,40,10,50,2.983801459,1,0,40000000
13104-1102,17,6,20,2.983801459,0,0,22000000
13104-1103,36,7,55,2.983801459,1,0,55000000
13104-1104,23,6,50,2.983801459,1,0,51000000
