,uid,years,minutes,sqrm,distance,renovate,express,price,predict
855,13114-774,18,3,85,9.492733962,0,1,80000000,72168409.75682482
856,13114-778,11,4,30,9.492733962,0,1,27000000,34021137.71420447
857,13114-779,19,6,50,9.492733962,0,1,42000000,42461648.60011283
858,13114-780,14,4,20,9.492733962,0,1,24000000,24896145.465213828
859,13114-787,8,6,80,9.492733962,0,1,83000000,70947767.78202671
860,13114-788,20,6,45,9.492733962,0,1,28000000,38176938.084353
861,13114-795,10,8,20,9.492733962,0,1,20000000,23055477.200139076
862,13114-796,16,4,20,9.492733962,0,1,23000000,23785003.03027188
863,13114-797,14,4,25,9.492733962,0,1,22000000,28625284.763502687
864,13114-798,10,8,20,9.492733962,0,1,20000000,23055477.200139076
865,13114-799,32,4,20,9.492733962,0,1,13000000,14895863.550736342
866,13114-800,14,4,20,9.492733962,0,1,23000000,24896145.465213828
867,13114-801,5,10,40,9.492733962,0,1,36000000,38718413.91317007
868,13114-803,32,4,20,9.492733962,0,1,13000000,14895863.550736342
869,13114-804,49,10,35,9.492733962,1,1,21000000,13849425.711308777
870,13114-805,14,3,20,9.492733962,1,1,21000000,29217168.414103795
871,13114-806,16,9,75,9.492733962,0,1,56000000,59726843.89275109
872,13114-807,20,5,50,9.492733962,0,1,50000000,42921815.66638152
873,13114-812,35,10,45,9.492733962,1,1,37000000,29085701.352480106
874,13114-813,10,8,20,9.492733962,0,1,18000000,23055477.200139076
875,13114-814,48,4,35,9.492733962,0,1,26000000,17194141.966067392
876,13114-815,10,8,20,9.492733962,0,1,24000000,23055477.200139076
877,13114-818,19,6,50,9.492733962,0,1,46000000,42461648.60011283
878,13114-819,20,6,25,9.492733962,0,1,21000000,23260380.891197544
879,13114-820,16,4,20,9.492733962,0,1,23000000,23785003.03027188
880,13114-821,32,5,20,9.492733962,0,1,15000000,13880125.266996682
881,13114-822,31,10,15,9.492733962,0,1,7800000,5627865.767480496
882,13114-823,11,4,30,9.492733962,0,1,29000000,34021137.71420447
883,13114-824,18,5,45,9.492733962,0,1,38000000,40303818.8030346
884,13114-829,21,5,50,9.492733962,0,1,44000000,42366244.44891055
885,13114-830,35,10,45,9.492733962,0,1,26000000,25780416.6873298
